protocol,sbytes,rate,sttl,sload,dload,tcprtt,smean,ct_state_ttl,ct_dst_src_ltm,ct_srv_dst,attack
6,184.68768784546157,57.17415246665158,220.11767089479963,67583.61306683955,21563.026525813646,0.022948308964805434,169.67129586194403,1.0,7.0,13.0,0
17,2766.0246824672863,66.19582716016896,146.16219956537077,26634.628222493895,4014.948217349207,0.0611513877845727,195.65258788257373,0.0,10.0,9.0,0
6,458.1255702144506,63.105510731684696,195.85674038285745,80272.98112664344,3779.774642684658,0.06542025241701345,76.80729649846985,1.0,13.0,10.0,0
17,567.3387405590825,57.64424243241483,263.9819057715148,4265.827424892568,16758.904454254633,0.05107911132093567,90.79854769092282,1.0,11.0,11.0,0
1,51.92516229475058,67.44450704915293,268.29974803179493,19662.38892193543,16056.391573276725,0.15714133181730966,138.8622483953932,0.0,19.0,15.0,0
6,447.8607539460196,73.51428161466242,203.24023536482468,23662.573026426344,28829.331256489204,0.15428343929362268,111.7645638935886,1.0,8.0,6.0,0
1,1740.0037994054042,72.19528670096534,177.98010718147705,4908.073813177163,5263.409385948572,0.2534091822146757,150.2228137111215,0.0,14.0,10.0,0
1,318.27089160717674,22.612752120364412,279.13420915098595,65212.62581837261,3665.5677545283775,0.04201517224494706,132.7797950228845,3.0,12.0,11.0,0
6,922.0616390971015,67.68199298651649,112.46170445419673,21571.150072572593,14032.34295676081,0.25796148392715174,89.87583074780999,0.0,6.0,5.5,1
1,3152.0495667544665,63.878259779092645,181.78626253993698,158396.82232107542,49167.115292317896,0.06513909840468199,149.37629788598684,4.0,6.0,13.0,0
6,771.3373032364872,62.140621688288405,122.6755093975132,5911.37969421582,13265.524433931487,0.04509510220435261,142.11631159432358,4.0,9.0,16.0,0
1,792.5096413390004,60.14827685921526,170.36991557663538,12038.732282798706,4245.829151293136,0.15978302668884573,96.14985288359424,3.0,12.0,6.0,0
6,1855.005052651103,45.85139302094857,69.87257018912553,187122.16651624447,30180.692710122214,0.4943338134088869,107.19645796736867,3.0,8.0,7.5,1
1,501.1944391074588,120.79066727482197,114.67896653473969,461906.23199583835,4108.508533496183,0.15262215478557853,34.644920044823564,3.0,5.0,5.0,1
17,720.1868948439114,76.44070440332888,179.26918971247713,53185.42393600205,4674.621867861887,0.3614772712995466,159.98273117440297,2.0,10.0,7.0,0
6,154.7260250359171,70.14260253113534,209.01542853668283,35395.38808434319,29327.99880904593,0.03292584188407651,157.79977777845326,2.0,15.0,12.0,0
1,2485.8547059131256,89.09961188055779,112.61344912659798,2431892.215904999,16493.377442697416,0.09271131405283164,115.38597469446728,3.0,5.5,4.0,1
1,409.81659448872296,97.25503390400345,79.62354235928089,86232.70298208398,4325.2760400778525,0.34628776875632655,97.73079550567125,0.0,7.0,7.0,1
17,4208.155594875432,49.428645112390896,249.87029348911818,5424.287352438385,949.4838687216803,0.05856113719095072,176.68424801800072,0.0,11.0,13.0,0
17,538.4529321438895,30.273437630971983,138.67918962422252,101196.5733023876,12122.34469547252,0.10593996130171324,172.2388159082528,3.0,19.0,10.0,0
6,718.813055627431,53.06038624249963,193.05787824360405,5862.051181416738,4116.827635862481,0.026765704139344138,188.78909446265607,1.0,5.0,7.0,0
17,196.90486207168334,11.771392447961402,143.24596163519715,43076.574907130234,12679.281247032186,0.10940523542886132,78.30482851682015,2.0,6.0,12.0,0
17,364.88725859524527,45.873485152096535,90.64612654752729,81876.36634406663,5502.297020485851,0.10059688480430412,127.66649534942358,6.0,6.0,6.0,1
1,4015.264386151203,54.10725073003263,125.58500385822606,247170.43175503914,10463.115581972841,0.06576818321128772,45.99518931439574,12.0,6.0,6.5,1
6,1120.045122150016,33.78251246690472,202.46000239675325,7943.9331514557025,28766.827106599918,0.011981884496956132,165.83298323476973,1.0,11.0,7.0,0
6,1177.0135565166406,51.90480009582127,128.48516511443046,105193.10147798479,14839.00496979323,0.047348812123209766,3.1232153487056733,6.0,5.0,5.5,1
6,1562.9263163648038,51.89350892877208,113.24482072332083,624485.5518686573,31276.590598693292,0.11574616093831136,54.597844991244926,6.0,9.5,7.0,1
